Data,Série,Valor
Jan 2017,M2,2390.710458
Feb 2017,M2,2401.311628
Mar 2017,M2,2413.002766
Apr 2017,M2,2428.356121
May 2017,M2,2462.036268
Jun 2017,M2,2497.091464
Jul 2017,M2,2492.501008
Aug 2017,M2,2513.003631
Sep 2017,M2,2529.39034
Oct 2017,M2,2516.956654
Nov 2017,M2,2542.372506
Dec 2017,M2,2581.696299
Jan 2018,M2,2540.195151
Feb 2018,M2,2555.76499
Mar 2018,M2,2610.244305
Apr 2018,M2,2610.320393
May 2018,M2,2639.056258
Jun 2018,M2,2687.682367
Jul 2018,M2,2687.705607
Aug 2018,M2,2722.687661
Sep 2018,M2,2768.549987
Oct 2018,M2,2758.971123
Nov 2018,M2,2767.462368
Dec 2018,M2,2851.295642
Jan 2019,M2,2782.890822
Feb 2019,M2,2789.368553
Mar 2019,M2,2826.921482
Apr 2019,M2,2837.567785
May 2019,M2,2858.260568
Jun 2019,M2,2882.284876
Jul 2019,M2,2887.325914
Aug 2019,M2,2910.838022
Sep 2019,M2,2954.813223
Oct 2019,M2,2966.159632
Nov 2019,M2,3006.693123
Dec 2019,M2,3099.422442
Jan 2020,M2,3032.05611
Feb 2020,M2,3043.035747
Mar 2020,M2,3209.501552
Apr 2020,M2,3392.903309
May 2020,M2,3538.699264
Jun 2020,M2,3633.595533
Jul 2020,M2,3718.433395
Aug 2020,M2,3757.567018
Sep 2020,M2,3842.696583
Oct 2020,M2,3879.303289
Nov 2020,M2,3900.799747
Dec 2020,M2,3985.578299
Dec 2001,M3,627.745633
Jan 2002,M3,628.602077
Feb 2002,M3,630.499541
Mar 2002,M3,642.165859
Apr 2002,M3,641.76922
May 2002,M3,641.898836
Jun 2002,M3,641.69539
Jul 2002,M3,644.127849
Aug 2002,M3,652.106074
Sep 2002,M3,661.980677
Oct 2002,M3,669.613766
Nov 2002,M3,678.988616
Dec 2002,M3,691.107613
Jan 2003,M3,696.054502
Feb 2003,M3,706.788435
Mar 2003,M3,710.712013
Apr 2003,M3,712.80012
May 2003,M3,721.321334
Jun 2003,M3,731.530105
Jul 2003,M3,749.105032
Aug 2003,M3,766.249499
Sep 2003,M3,779.95806
Oct 2003,M3,791.844332
Nov 2003,M3,814.963841
Dec 2003,M3,841.738413
Jan 2004,M3,850.484302
Feb 2004,M3,860.505531
Mar 2004,M3,870.826987
Apr 2004,M3,876.412419
May 2004,M3,908.888294
Jun 2004,M3,916.975348
Jul 2004,M3,927.486531
Aug 2004,M3,939.986824
Sep 2004,M3,949.435412
Oct 2004,M3,959.613747
Nov 2004,M3,974.733631
Dec 2004,M3,990.547645
Jan 2005,M3,995.464144
Feb 2005,M3,1008.398675
Mar 2005,M3,1027.786068
Apr 2005,M3,1033.637671
May 2005,M3,1040.046083
Jun 2005,M3,1050.018485
Jul 2005,M3,1070.923797
Aug 2005,M3,1087.502947
Sep 2005,M3,1109.859415
Oct 2005,M3,1114.684624
Nov 2005,M3,1138.403099
Dec 2005,M3,1166.453388
Jan 2006,M3,1182.375081
Feb 2006,M3,1204.760611
Mar 2006,M3,1217.947577
Apr 2006,M3,1225.507675
May 2006,M3,1245.56299
Jun 2006,M3,1251.909775
Jul 2006,M3,1263.276121
Aug 2006,M3,1274.572866
Sep 2006,M3,1292.498222
Oct 2006,M3,1309.59091
Nov 2006,M3,1340.098738
Dec 2006,M3,1365.957852
Jan 2007,M3,1381.091644
Feb 2007,M3,1395.941954
Mar 2007,M3,1403.437444
Apr 2007,M3,1432.743929
May 2007,M3,1448.292815
Jun 2007,M3,1468.643962
Jul 2007,M3,1451.583471
Aug 2007,M3,1461.790549
Sep 2007,M3,1498.606015
Oct 2007,M3,1522.132734
Nov 2007,M3,1569.704721
Dec 2007,M3,1600.005607
Jan 2008,M3,1601.68895
Feb 2008,M3,1618.982555
Mar 2008,M3,1636.587622
Apr 2008,M3,1675.853648
May 2008,M3,1706.968916
Jun 2008,M3,1721.02684
Jul 2008,M3,1764.903833
Aug 2008,M3,1801.31076
Sep 2008,M3,1825.93871
Oct 2008,M3,1833.67889
Nov 2008,M3,1868.278256
Dec 2008,M3,1894.808837
Jan 2009,M3,1896.403733
Feb 2009,M3,1911.377234
Mar 2009,M3,1922.39533
Apr 2009,M3,1950.835852
May 2009,M3,1981.875506
Jun 2009,M3,1997.955514
Jul 2009,M3,2035.540975
Aug 2009,M3,2069.824769
Sep 2009,M3,2108.364057
Oct 2009,M3,2129.862633
Nov 2009,M3,2158.865053
