data,valor,Data
01/07/1995,36.6,1995-07-01
01/08/1995,35.82,1995-08-01
01/09/1995,35.64,1995-09-01
01/10/1995,35.21,1995-10-01
01/11/1995,34.8,1995-11-01
01/12/1995,33.8,1995-12-01
01/01/1996,32.82,1996-01-01
01/02/1996,32.71,1996-02-01
01/03/1996,33.12,1996-03-01
01/04/1996,32.96,1996-04-01
01/05/1996,32.51,1996-05-01
01/06/1996,32.12,1996-06-01
01/07/1996,31.48,1996-07-01
01/08/1996,30.83,1996-08-01
01/09/1996,30.6,1996-09-01
01/10/1996,30.55,1996-10-01
01/11/1996,29.98,1996-11-01
01/12/1996,29.54,1996-12-01
01/01/1997,29.34,1997-01-01
01/02/1997,29.34,1997-02-01
01/03/1997,29.39,1997-03-01
01/04/1997,29.43,1997-04-01
01/05/1997,29.64,1997-05-01
01/06/1997,29.87,1997-06-01
01/07/1997,30.08,1997-07-01
01/08/1997,30.32,1997-08-01
01/09/1997,30.48,1997-09-01
01/10/1997,30.61,1997-10-01
01/11/1997,30.72,1997-11-01
01/12/1997,27.28,1997-12-01
01/01/1998,27.18,1998-01-01
01/02/1998,27.6,1998-02-01
01/03/1998,27.28,1998-03-01
01/04/1998,27.27,1998-04-01
01/05/1998,27.25,1998-05-01
01/06/1998,27.04,1998-06-01
01/07/1998,26.88,1998-07-01
01/08/1998,26.9,1998-08-01
01/09/1998,27.14,1998-09-01
01/10/1998,27.15,1998-10-01
01/11/1998,27.86,1998-11-01
01/12/1998,27.62,1998-12-01
01/01/1999,28.45,1999-01-01
01/02/1999,28.59,1999-02-01
01/03/1999,27.63,1999-03-01
01/04/1999,27.21,1999-04-01
01/05/1999,27.26,1999-05-01
01/06/1999,27.09,1999-06-01
01/07/1999,27.17,1999-07-01
01/08/1999,27.23,1999-08-01
01/09/1999,27.4,1999-09-01
01/10/1999,27.66,1999-10-01
01/11/1999,27.6,1999-11-01
01/12/1999,26.52,1999-12-01
01/01/2000,26.31,2000-01-01
01/02/2000,25.9,2000-02-01
01/03/2000,25.68,2000-03-01
01/04/2000,26.09,2000-04-01
01/05/2000,27.7,2000-05-01
01/06/2000,26.98,2000-06-01
01/07/2000,26.94,2000-07-01
01/08/2000,26.67,2000-08-01
01/09/2000,26.32,2000-09-01
01/10/2000,26.43,2000-10-01
01/11/2000,26.91,2000-11-01
01/12/2000,27.26,2000-12-01
01/01/2001,27.02,2001-01-01
01/02/2001,27.51,2001-02-01
01/03/2001,27.86,2001-03-01
01/04/2001,27.95,2001-04-01
01/05/2001,28.17,2001-05-01
01/06/2001,25.25,2001-06-01
01/07/2001,25.5,2001-07-01
01/08/2001,25.93,2001-08-01
01/09/2001,26.42,2001-09-01
01/10/2001,26.46,2001-10-01
01/11/2001,26.36,2001-11-01
