Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026);;;;;;;;;;;;;;;;
Data de geracao dos dados: 2015-07-09;;;;;;;;;;;;;; R$1.613.183.001.003,61 ;148;
Fonte: Instituicoes financeiras;;;;;;;;;;;; R$183.668.961.079.270,00 ;; R$321.010.000.000,00 ;BCO DO BRASIL S.A.;0,198991683
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA; SALDO ;;;; R$4.534.232.073,00 ;BRB - BCO DE BRASILIA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16100004;EMPRESTIMOS E TITULOS DESCONTADOS;1,53E+11;;;; R$2.166.134.316,00 ;BCO DA AMAZONIA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16200007;FINANCIAMENTOS;83243337501;;;; R$1.552.618.613,00 ;BCO DO EST. DO PA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16300000;FINANCIAMENTOS RURAIS E AGROINDUSTRIAIS;93811445562;;;; R$4.068.503.178,00 ;BCO DE LAGE LANDEN BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16400003;FINANCIAMENTOS IMOBILIARIOS;7971843092;;;; R$32.107.684.747,00 ;BCO BRADESCO FINANC. S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16600009;FINANCIAMENTOS DE INFRAESTRUTURA E DESENVOLVIMENTO;840795,19;;;; R$10.271.497.229,00 ;BCO DO NORDESTE DO BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16900008;(-) PROVISOES PARA OPERACOES DE CREDITO;-16762183491;;;; R$666.845.900,50 ;BANCO MONEO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18000009;OUTROS CREDITOS;1,13E+11;;;; R$8.196.834.901,00 ;BCO INDUSTRIAL E COMERCIAL S.A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18100002;AVAIS E FIANCAS HONRADOS;84617965,75;;;; R$17.712.754,60 ;BCO KDB BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18200005;CARTEIRA DE CAMBIO;16544177939;;;; R$163.420.830,60 ;BANCO TOPçZIO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18300008;RENDAS A RECEBER;2047756320;;;; R$547.022.066,90 ;BCO CSF S.A.;
