Segmento,Sigla,Ano,Mês,Quantidade,Período
Caixas Econômicas,CE,2018,Fev,1,Fev 2018
Banco de Investimento,BI,2018,Fev,13,Fev 2018
Banco de Câmbio,B Camb,2018,Fev,3,Fev 2018
Banco Múltiplo,BM,2018,Mar,131,Mar 2018
Banco Comercial,BC,2018,Mar,21,Mar 2018
Banco de Desenvolvimento,BD,2018,Mar,4,Mar 2018
Caixas Econômicas,CE,2018,Mar,1,Mar 2018
Banco de Investimento,BI,2018,Mar,12,Mar 2018
Banco de Câmbio,B Camb,2018,Mar,4,Mar 2018
Banco Múltiplo,BM,2018,Abr,130,Abr 2018
Banco Comercial,BC,2018,Abr,21,Abr 2018
Banco de Desenvolvimento,BD,2018,Abr,4,Abr 2018
Caixas Econômicas,CE,2018,Abr,1,Abr 2018
Banco de Investimento,BI,2018,Abr,12,Abr 2018
Banco de Câmbio,B Camb,2018,Abr,4,Abr 2018
Banco Múltiplo,BM,2018,Mai,130,Mai 2018
Banco Comercial,BC,2018,Mai,20,Mai 2018
Banco de Desenvolvimento,BD,2018,Mai,4,Mai 2018
Caixas Econômicas,CE,2018,Mai,1,Mai 2018
Banco de Investimento,BI,2018,Mai,12,Mai 2018
Banco de Câmbio,B Camb,2018,Mai,4,Mai 2018
Banco Múltiplo,BM,2018,Jun,130,Jun 2018
Banco Comercial,BC,2018,Jun,20,Jun 2018
Banco de Desenvolvimento,BD,2018,Jun,4,Jun 2018
Caixas Econômicas,CE,2018,Jun,1,Jun 2018
Banco de Investimento,BI,2018,Jun,12,Jun 2018
Banco de Câmbio,B Camb,2018,Jun,4,Jun 2018
Banco Múltiplo,BM,2018,Jul,130,Jul 2018
Banco Comercial,BC,2018,Jul,20,Jul 2018
Banco de Desenvolvimento,BD,2018,Jul,4,Jul 2018
Caixas Econômicas,CE,2018,Jul,1,Jul 2018
Banco de Investimento,BI,2018,Jul,12,Jul 2018
Banco de Câmbio,B Camb,2018,Jul,4,Jul 2018
Banco Múltiplo,BM,2018,Ago,130,Ago 2018
Banco Comercial,BC,2018,Ago,20,Ago 2018
Banco de Desenvolvimento,BD,2018,Ago,4,Ago 2018
Caixas Econômicas,CE,2018,Ago,1,Ago 2018
Banco de Investimento,BI,2018,Ago,12,Ago 2018
Banco de Câmbio,B Camb,2018,Ago,4,Ago 2018
Banco Múltiplo,BM,2018,Set,131,Set 2018
Banco Comercial,BC,2018,Set,20,Set 2018
Banco de Desenvolvimento,BD,2018,Set,4,Set 2018
Caixas Econômicas,CE,2018,Set,1,Set 2018
Banco de Investimento,BI,2018,Set,12,Set 2018
Banco de Câmbio,B Camb,2018,Set,4,Set 2018
Banco Múltiplo,BM,2018,Out,131,Out 2018
Banco Comercial,BC,2018,Out,20,Out 2018
Banco de Desenvolvimento,BD,2018,Out,4,Out 2018
Caixas Econômicas,CE,2018,Out,1,Out 2018
Banco de Investimento,BI,2018,Out,12,Out 2018
Banco de Câmbio,B Camb,2018,Out,4,Out 2018
Banco Múltiplo,BM,2018,Nov,131,Nov 2018
Banco Comercial,BC,2018,Nov,20,Nov 2018
Banco de Desenvolvimento,BD,2018,Nov,4,Nov 2018
Caixas Econômicas,CE,2018,Nov,1,Nov 2018
Banco de Investimento,BI,2018,Nov,12,Nov 2018
Banco de Câmbio,B Camb,2018,Nov,4,Nov 2018
Banco Múltiplo,BM,2018,Dez,131,Dez 2018
Banco Comercial,BC,2018,Dez,20,Dez 2018
Banco de Desenvolvimento,BD,2018,Dez,4,Dez 2018
Caixas Econômicas,CE,2018,Dez,1,Dez 2018
Banco de Investimento,BI,2018,Dez,12,Dez 2018
Banco de Câmbio,B Camb,2018,Dez,4,Dez 2018
Banco Múltiplo,BM,2019,Jan,132,Jan 2019
Banco Comercial,BC,2019,Jan,20,Jan 2019
Banco de Desenvolvimento,BD,2019,Jan,4,Jan 2019
Caixas Econômicas,CE,2019,Jan,1,Jan 2019
Banco de Investimento,BI,2019,Jan,12,Jan 2019
Banco de Câmbio,B Camb,2019,Jan,4,Jan 2019
Banco Múltiplo,BM,2019,Fev,132,Fev 2019
Banco Comercial,BC,2019,Fev,21,Fev 2019
Banco de Desenvolvimento,BD,2019,Fev,4,Fev 2019
Caixas Econômicas,CE,2019,Fev,1,Fev 2019
Banco de Investimento,BI,2019,Fev,12,Fev 2019
Banco de Câmbio,B Camb,2019,Fev,4,Fev 2019
Banco Múltiplo,BM,2019,Mar,132,Mar 2019
Banco Comercial,BC,2019,Mar,21,Mar 2019
Banco de Desenvolvimento,BD,2019,Mar,4,Mar 2019
Caixas Econômicas,CE,2019,Mar,1,Mar 2019
Banco de Investimento,BI,2019,Mar,12,Mar 2019
Banco de Câmbio,B Camb,2019,Mar,4,Mar 2019
Banco Múltiplo,BM,2019,Abr,132,Abr 2019
Banco Comercial,BC,2019,Abr,21,Abr 2019
Banco de Desenvolvimento,BD,2019,Abr,4,Abr 2019
Caixas Econômicas,CE,2019,Abr,1,Abr 2019
Banco de Investimento,BI,2019,Abr,12,Abr 2019
Banco de Câmbio,B Camb,2019,Abr,4,Abr 2019
Banco Múltiplo,BM,2019,Mai,132,Mai 2019
Banco Comercial,BC,2019,Mai,21,Mai 2019
Banco de Desenvolvimento,BD,2019,Mai,4,Mai 2019
Caixas Econômicas,CE,2019,Mai,1,Mai 2019
Banco de Investimento,BI,2019,Mai,12,Mai 2019
Banco de Câmbio,B Camb,2019,Mai,4,Mai 2019
Banco Múltiplo,BM,2019,Jun,133,Jun 2019
Banco Comercial,BC,2019,Jun,21,Jun 2019
Banco de Desenvolvimento,BD,2019,Jun,4,Jun 2019
Caixas Econômicas,CE,2019,Jun,1,Jun 2019
Banco de Investimento,BI,2019,Jun,12,Jun 2019
Banco de Câmbio,B Camb,2019,Jun,4,Jun 2019
Banco Múltiplo,BM,2019,Jul,133,Jul 2019
Banco Comercial,BC,2019,Jul,21,Jul 2019
Banco de Desenvolvimento,BD,2019,Jul,4,Jul 2019
Caixas Econômicas,CE,2019,Jul,1,Jul 2019
Banco de Investimento,BI,2019,Jul,12,Jul 2019
Banco de Câmbio,B Camb,2019,Jul,4,Jul 2019
Banco Múltiplo,BM,2019,Ago,133,Ago 2019
Banco Comercial,BC,2019,Ago,21,Ago 2019
Banco de Desenvolvimento,BD,2019,Ago,4,Ago 2019
Caixas Econômicas,CE,2019,Ago,1,Ago 2019
Banco de Investimento,BI,2019,Ago,12,Ago 2019
Banco de Câmbio,B Camb,2019,Ago,4,Ago 2019
Banco Múltiplo,BM,2019,Set,132,Set 2019
Banco Comercial,BC,2019,Set,21,Set 2019
Banco de Desenvolvimento,BD,2019,Set,4,Set 2019
Caixas Econômicas,CE,2019,Set,1,Set 2019
Banco de Investimento,BI,2019,Set,12,Set 2019
Banco de Câmbio,B Camb,2019,Set,5,Set 2019
Banco Múltiplo,BM,2019,Out,133,Out 2019
Banco Comercial,BC,2019,Out,21,Out 2019
Banco de Desenvolvimento,BD,2019,Out,4,Out 2019
Caixas Econômicas,CE,2019,Out,1,Out 2019
Banco de Investimento,BI,2019,Out,12,Out 2019
Banco de Câmbio,B Camb,2019,Out,5,Out 2019
Banco Múltiplo,BM,2019,Nov,132,Nov 2019
Banco Comercial,BC,2019,Nov,19,Nov 2019
Banco de Desenvolvimento,BD,2019,Nov,4,Nov 2019
Caixas Econômicas,CE,2019,Nov,1,Nov 2019
Banco de Investimento,BI,2019,Nov,12,Nov 2019
Banco de Câmbio,B Camb,2019,Nov,5,Nov 2019
Banco Múltiplo,BM,2019,Dez,132,Dez 2019
Banco Comercial,BC,2019,Dez,20,Dez 2019
Banco de Desenvolvimento,BD,2019,Dez,4,Dez 2019
Caixas Econômicas,CE,2019,Dez,1,Dez 2019
Banco de Investimento,BI,2019,Dez,11,Dez 2019
Banco de Câmbio,B Camb,2019,Dez,5,Dez 2019
