Caráter,Capital,Ano,Mês,Quantidade,Tipo,Período
Privado,Estrangeiros,2006,Dez,8,Privado,Dez 2006
Público,Públicos,2007,Dez,14,Público,Dez 2007
Privado,Nacionais,2007,Dez,77,Privado,Dez 2007
Privado,Nacionais com Participação Estrangeira,2007,Dez,10,Privado,Dez 2007
Privado,Controle Estrangeiro,2007,Dez,49,Privado,Dez 2007
Privado,Estrangeiros,2007,Dez,7,Privado,Dez 2007
Público,Públicos,2008,Dez,13,Público,Dez 2008
Privado,Nacionais,2008,Dez,83,Privado,Dez 2008
Privado,Nacionais com Participação Estrangeira,2008,Dez,2,Privado,Dez 2008
Privado,Controle Estrangeiro,2008,Dez,56,Privado,Dez 2008
Privado,Estrangeiros,2008,Dez,6,Privado,Dez 2008
Público,Públicos,2009,Dez,14,Público,Dez 2009
Privado,Nacionais,2009,Dez,83,Privado,Dez 2009
Privado,Nacionais com Participação Estrangeira,2009,Dez,6,Privado,Dez 2009
Privado,Controle Estrangeiro,2009,Dez,56,Privado,Dez 2009
Privado,Estrangeiros,2009,Dez,6,Privado,Dez 2009
Público,Públicos,2010,Dez,10,Público,Dez 2010
Privado,Nacionais,2010,Dez,78,Privado,Dez 2010
Privado,Nacionais com Participação Estrangeira,2010,Dez,11,Privado,Dez 2010
Privado,Controle Estrangeiro,2010,Dez,55,Privado,Dez 2010
Privado,Estrangeiros,2010,Dez,6,Privado,Dez 2010
Público,Públicos,2011,Dez,10,Público,Dez 2011
Privado,Nacionais,2011,Dez,73,Privado,Dez 2011
Privado,Nacionais com Participação Estrangeira,2011,Dez,16,Privado,Dez 2011
Privado,Controle Estrangeiro,2011,Dez,56,Privado,Dez 2011
Privado,Estrangeiros,2011,Dez,6,Privado,Dez 2011
Público,Públicos,2012,Dez,10,Público,Dez 2012 6
Privado,Nacionais,2012,Dez,71,Privado,Dez 2012 6
Privado,Nacionais com Participação Estrangeira,2012,Dez,16,Privado,Dez 2012 6
Privado,Controle Estrangeiro,2012,Dez,59,Privado,Dez 2012 6
Privado,Estrangeiros,2012,Dez,6,Privado,Dez 2012 6
Público,Públicos,2013,Dez,10,Público,Dez 2013 6
Privado,Nacionais,2013,Dez,67,Privado,Dez 2013 6
Privado,Nacionais com Participação Estrangeira,2013,Dez,15,Privado,Dez 2013 6
Privado,Controle Estrangeiro,2013,Dez,58,Privado,Dez 2013 6
Privado,Estrangeiros,2013,Dez,6,Privado,Dez 2013 6
Público,Públicos,2014,Dez,10,Público,Dez 2014
Privado,Nacionais,2014,Dez,63,Privado,Dez 2014
Privado,Nacionais com Participação Estrangeira,2014,Dez,16,Privado,Dez 2014
Privado,Controle Estrangeiro,2014,Dez,58,Privado,Dez 2014
Privado,Estrangeiros,2014,Dez,6,Privado,Dez 2014
Público,Públicos,2015,Dez,10,Público,Dez 2015
Privado,Nacionais,2015,Dez,72,Privado,Dez 2015
Privado,Nacionais com Participação Estrangeira,2015,Dez,6,Privado,Dez 2015
Privado,Controle Estrangeiro,2015,Dez,60,Privado,Dez 2015
Privado,Estrangeiros,2015,Dez,6,Privado,Dez 2015
Público,Públicos,2016,Dez,10,Público,Dez 2016
Privado,Nacionais,2016,Dez,63,Privado,Dez 2016
Privado,Nacionais com Participação Estrangeira,2016,Dez,17,Privado,Dez 2016
Privado,Controle Estrangeiro,2016,Dez,59,Privado,Dez 2016
Privado,Estrangeiros,2016,Dez,6,Privado,Dez 2016
Público,Públicos,2017,Dez,10,Público,Dez 2017
Privado,Nacionais,2017,Dez,65,Privado,Dez 2017
Privado,Nacionais com Participação Estrangeira,2017,Dez,16,Privado,Dez 2017
Privado,Controle Estrangeiro,2017,Dez,57,Privado,Dez 2017
Privado,Estrangeiros,2017,Dez,6,Privado,Dez 2017
Público,Públicos,2018,Dez,10,Público,Dez 2018
Privado,Nacionais,2018,Dez,64,Privado,Dez 2018
Privado,Nacionais com Participação Estrangeira,2018,Dez,16,Privado,Dez 2018
Privado,Controle Estrangeiro,2018,Dez,56,Privado,Dez 2018
Privado,Estrangeiros,2018,Dez,6,Privado,Dez 2018
Público,Públicos,2019,Dez,10,Público,Dez 2019
Privado,Nacionais,2019,Dez,66,Privado,Dez 2019
Privado,Nacionais com Participação Estrangeira,2019,Dez,12,Privado,Dez 2019
Privado,Controle Estrangeiro,2019,Dez,60,Privado,Dez 2019
Privado,Estrangeiros,2019,Dez,5,Privado,Dez 2019
