Data;25351 - Indicador de Custo do Crédito - ICC - Total - % a.a.;25352 - Indicador de Custo do Crédito - ICC - Pessoas jurídicas - Total - % a.a.;25353 - Indicador de Custo do Crédito - ICC - Pessoas físicas - Total - % a.a.;27645 - Indicador de Custo do Crédito - ICC - Crédito não rotativo - Total - % a.a.;27646 - Indicador de Custo do Crédito - ICC - Pessoas jurídicas - Crédito não rotativo - Total - % a.a.;27647 - Indicador de Custo do Crédito - ICC - Pessoas físicas - Crédito não rotativo - Total - % a.a.
04/2019;21,15 ;14,55 ;26,45 ;18,62 ;12,74 ;23,82
05/2019;21,13 ;14,43 ;26,46 ;18,67 ;12,67 ;23,95
06/2019;21,29 ;14,54 ;26,61 ;18,71 ;12,66 ;23,97
07/2019;21,24 ;14,45 ;26,46 ;18,74 ;12,63 ;23,96
08/2019;21,17 ;14,26 ;26,47 ;18,67 ;12,52 ;23,90
09/2019;21,04 ;14,12 ;26,37 ;18,52 ;12,39 ;23,75
10/2019;20,94 ;13,96 ;26,20 ;18,42 ;12,29 ;23,54
11/2019;20,79 ;13,91 ;25,99 ;18,29 ;12,20 ;23,39
12/2019;20,32 ;13,74 ;25,30 ;18,04 ;12,09 ;23,07
01/2020;20,17 ;13,77 ;24,88 ;18,10 ;12,01 ;23,10
02/2020;20,29 ;13,73 ;25,13 ;18,06 ;11,89 ;23,10
03/2020;20,10 ;13,46 ;25,31 ;17,75 ;11,62 ;23,05
04/2020;19,76 ;12,92 ;25,27 ;17,47 ;11,39 ;22,79
05/2020;19,14 ;12,43 ;24,59 ;17,21 ;11,24 ;22,48
06/2020;18,56 ;12,15 ;23,76 ;16,88 ;11,05 ;22,06
07/2020;18,27 ;11,81 ;23,55 ;16,60 ;10,89 ;21,72
08/2020;17,93 ;11,67 ;23,08 ;16,35 ;10,78 ;21,42
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
