Data;27674 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.a.;27675 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.a.;27676 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.a.;27677 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.a.;27678 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal consignado total - % a.a.;27679 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito pessoal total - % a.a.;27680 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de veículos - % a.a.;27681 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de outros bens - % a.a.;27682 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.;27683 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de outros bens - % a.a.
05/2016;47,47 ;37,94 ;25,06 ;28,87 ;27,22 ;46,82 ;24,30 ;85,22 ;17,79 ;17,75
06/2016;48,31 ;38,29 ;25,17 ;28,95 ;27,34 ;46,93 ;24,41 ;86,68 ;17,82 ;17,99
07/2016;48,91 ;38,61 ;25,26 ;29,02 ;27,45 ;47,09 ;24,51 ;87,17 ;17,84 ;18,06
08/2016;49,30 ;38,89 ;25,36 ;29,09 ;27,55 ;47,28 ;24,63 ;87,63 ;17,89 ;18,20
09/2016;49,74 ;39,48 ;25,44 ;29,14 ;27,65 ;47,48 ;24,74 ;88,38 ;17,93 ;18,04
10/2016;50,36 ;39,72 ;25,52 ;29,22 ;27,75 ;47,62 ;24,82 ;88,77 ;17,91 ;18,09
11/2016;50,81 ;39,90 ;25,60 ;29,29 ;27,82 ;47,79 ;24,92 ;89,09 ;17,87 ;18,22
12/2016;51,10 ;40,13 ;25,68 ;29,35 ;27,88 ;47,55 ;25,00 ;89,49 ;17,83 ;18,18
01/2017;51,55 ;40,36 ;25,76 ;29,44 ;27,97 ;47,71 ;25,10 ;89,58 ;17,82 ;18,18
02/2017;51,92 ;40,57 ;25,82 ;29,53 ;28,05 ;47,90 ;25,16 ;89,77 ;17,81 ;18,22
03/2017;52,31 ;40,79 ;25,89 ;29,60 ;28,12 ;48,06 ;25,18 ;89,83 ;17,79 ;18,22
04/2017;52,64 ;40,97 ;25,93 ;29,55 ;28,14 ;48,04 ;25,17 ;89,70 ;17,78 ;18,25
05/2017;53,27 ;41,09 ;25,93 ;29,44 ;28,10 ;48,12 ;25,15 ;89,41 ;17,81 ;18,13
06/2017;53,84 ;41,15 ;25,92 ;29,35 ;28,07 ;47,97 ;25,12 ;89,30 ;17,86 ;18,15
07/2017;54,35 ;41,29 ;25,92 ;29,27 ;28,05 ;47,88 ;25,07 ;89,50 ;17,85 ;18,03
08/2017;54,88 ;41,25 ;25,90 ;29,18 ;28,00 ;47,84 ;24,97 ;89,00 ;17,85 ;17,64
09/2017;55,31 ;41,30 ;25,87 ;29,10 ;27,95 ;47,74 ;24,87 ;88,75 ;17,81 ;17,58
10/2017;55,69 ;41,32 ;25,82 ;29,00 ;27,89 ;47,70 ;24,73 ;88,52 ;17,82 ;17,41
11/2017;55,92 ;41,19 ;25,76 ;28,88 ;27,80 ;47,60 ;24,57 ;88,30 ;17,75 ;17,17
12/2017;56,15 ;41,11 ;25,69 ;28,77 ;27,72 ;46,90 ;24,42 ;88,26 ;17,69 ;17,16
01/2018;56,50 ;41,05 ;25,63 ;28,62 ;27,63 ;46,81 ;24,31 ;88,09 ;17,65 ;17,16
02/2018;56,87 ;41,07 ;25,58 ;28,51 ;27,56 ;46,77 ;24,21 ;87,79 ;17,61 ;16,95
03/2018;57,25 ;41,09 ;25,50 ;28,39 ;27,47 ;46,82 ;24,04 ;87,41 ;17,49 ;16,55
04/2018;57,61 ;41,07 ;25,41 ;28,28 ;27,37 ;46,76 ;23,87 ;86,85 ;17,35 ;16,51
05/2018;57,98 ;40,99 ;25,30 ;28,13 ;27,25 ;46,53 ;23,71 ;86,73 ;17,22 ;15,77
06/2018;58,01 ;40,88 ;25,17 ;27,97 ;27,11 ;46,31 ;23,59 ;86,70 ;17,08 ;15,59
07/2018;58,13 ;40,72 ;25,06 ;27,80 ;26,97 ;46,06 ;23,49 ;86,31 ;16,95 ;15,69
08/2018;58,17 ;40,55 ;24,91 ;27,65 ;26,82 ;45,97 ;23,37 ;85,35 ;16,86 ;15,58
09/2018;58,33 ;40,42 ;24,78 ;27,50 ;26,69 ;45,73 ;23,28 ;84,56 ;16,74 ;15,41
10/2018;58,28 ;40,25 ;24,64 ;27,34 ;26,54 ;45,77 ;23,19 ;83,75 ;16,61 ;15,09
11/2018;58,07 ;40,00 ;24,52 ;27,20 ;26,37 ;45,75 ;23,07 ;82,93 ;16,47 ;15,00
12/2018;57,86 ;39,78 ;24,41 ;27,09 ;26,26 ;45,42 ;22,95 ;82,38 ;16,38 ;14,46
01/2019;57,85 ;39,49 ;24,28 ;26,99 ;26,14 ;45,42 ;22,89 ;81,89 ;16,35 ;14,30
02/2019;57,92 ;39,44 ;24,13 ;26,86 ;26,01 ;45,39 ;22,81 ;81,28 ;16,33 ;14,27
03/2019;58,01 ;39,28 ;23,96 ;26,73 ;25,86 ;45,40 ;22,70 ;80,68 ;16,25 ;13,84
04/2019;58,24 ;39,05 ;23,76 ;26,59 ;25,68 ;45,44 ;22,59 ;79,89 ;16,16 ;13,56
05/2019;58,24 ;38,76 ;23,57 ;26,44 ;25,50 ;45,44 ;22,46 ;78,81 ;16,09 ;13,50
06/2019;58,10 ;38,47 ;23,38 ;26,30 ;25,33 ;45,35 ;22,35 ;77,92 ;16,05 ;13,40
07/2019;57,78 ;38,11 ;23,16 ;26,11 ;25,11 ;45,03 ;22,18 ;76,88 ;15,92 ;13,35
08/2019;57,34 ;37,73 ;22,93 ;25,92 ;24,89 ;44,71 ;22,02 ;75,99 ;15,91 ;12,21
09/2019;56,64 ;37,44 ;22,60 ;25,74 ;24,60 ;44,29 ;21,85 ;75,46 ;15,97 ;12,02
