Data;27654 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro rotativo - % a.a.;27655 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Capital de giro total - % a.a.;27656 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Conta garantida - % a.a.;27657 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cheque especial - % a.a.;27658 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de veículos - % a.a.;27659 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de outros bens - % a.a.;27660 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.;27661 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de outros bens - % a.a.;27662 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Vendor - % a.a.;27663 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Compror - % a.a.
06/2016;39,67 ;24,68 ;51,14 ;320,01 ;20,89 ;17,96 ;17,43 ;16,07 ;19,13 ;22,90
07/2016;40,05 ;24,72 ;52,43 ;320,87 ;20,98 ;18,00 ;17,52 ;16,13 ;19,17 ;22,99
08/2016;40,51 ;24,80 ;52,03 ;328,77 ;21,05 ;18,04 ;17,58 ;16,21 ;19,31 ;22,93
09/2016;40,90 ;24,78 ;50,65 ;337,60 ;21,11 ;18,11 ;17,62 ;16,33 ;19,12 ;22,98
10/2016;41,38 ;24,77 ;53,12 ;340,50 ;21,17 ;18,10 ;17,61 ;16,48 ;19,21 ;23,09
11/2016;41,83 ;24,73 ;51,09 ;339,04 ;21,24 ;18,17 ;17,61 ;16,53 ;19,34 ;22,91
12/2016;41,64 ;24,58 ;49,20 ;332,76 ;21,25 ;17,82 ;17,64 ;16,60 ;19,08 ;22,61
01/2017;42,12 ;24,52 ;50,25 ;333,49 ;21,31 ;17,74 ;17,64 ;16,65 ;19,03 ;22,82
02/2017;42,36 ;24,44 ;48,59 ;336,98 ;21,33 ;18,26 ;17,60 ;16,68 ;19,01 ;22,73
03/2017;42,12 ;24,19 ;49,18 ;340,63 ;21,29 ;17,87 ;17,54 ;16,71 ;18,87 ;21,65
04/2017;41,93 ;24,02 ;48,74 ;339,90 ;21,21 ;17,87 ;17,43 ;16,72 ;18,69 ;21,46
05/2017;42,16 ;23,84 ;49,02 ;339,48 ;21,05 ;17,90 ;17,27 ;16,75 ;18,25 ;20,53
06/2017;41,73 ;23,54 ;48,24 ;339,38 ;20,91 ;17,95 ;17,16 ;16,73 ;17,72 ;19,96
07/2017;41,47 ;23,34 ;45,59 ;339,93 ;20,74 ;17,80 ;17,03 ;16,72 ;17,33 ;19,43
08/2017;40,89 ;23,10 ;45,66 ;338,25 ;20,49 ;17,89 ;16,90 ;16,71 ;16,60 ;18,76
09/2017;40,48 ;22,82 ;43,99 ;339,32 ;20,26 ;17,82 ;16,72 ;16,66 ;15,52 ;18,43
10/2017;40,35 ;22,58 ;43,12 ;342,97 ;19,97 ;17,75 ;16,49 ;16,54 ;14,77 ;18,03
11/2017;40,25 ;22,32 ;41,98 ;339,90 ;19,68 ;17,71 ;16,31 ;16,48 ;14,34 ;17,26
12/2017;39,36 ;21,92 ;40,91 ;336,50 ;19,38 ;17,61 ;16,01 ;16,40 ;13,62 ;16,38
01/2018;39,68 ;21,72 ;41,53 ;330,19 ;19,15 ;17,46 ;15,84 ;16,36 ;13,37 ;16,11
02/2018;39,52 ;21,52 ;40,40 ;331,18 ;18,87 ;17,26 ;15,65 ;16,30 ;13,46 ;16,08
03/2018;39,14 ;21,24 ;39,94 ;332,09 ;18,46 ;17,26 ;15,46 ;16,18 ;13,46 ;15,84
04/2018;38,61 ;20,91 ;40,08 ;332,67 ;18,07 ;17,20 ;15,30 ;16,06 ;13,28 ;15,41
05/2018;38,31 ;20,68 ;39,29 ;332,28 ;17,76 ;17,12 ;15,18 ;15,99 ;13,19 ;15,05
06/2018;37,56 ;20,50 ;38,83 ;331,97 ;17,55 ;17,06 ;15,06 ;15,90 ;13,37 ;14,88
07/2018;37,25 ;20,38 ;39,62 ;336,05 ;17,37 ;17,02 ;14,98 ;15,79 ;13,38 ;14,91
08/2018;36,80 ;20,21 ;39,83 ;341,29 ;17,18 ;16,94 ;14,87 ;15,69 ;13,26 ;14,81
09/2018;36,28 ;20,10 ;39,85 ;343,78 ;17,03 ;16,89 ;14,81 ;15,60 ;13,07 ;14,98
10/2018;35,19 ;19,88 ;40,24 ;349,07 ;16,88 ;16,88 ;14,72 ;15,43 ;12,81 ;14,97
11/2018;34,01 ;19,66 ;39,59 ;342,30 ;16,69 ;16,84 ;14,64 ;15,33 ;12,39 ;14,59
12/2018;32,32 ;19,40 ;38,60 ;343,03 ;16,48 ;16,65 ;14,56 ;15,21 ;11,96 ;14,64
01/2019;32,05 ;19,29 ;38,80 ;347,21 ;16,37 ;16,55 ;14,47 ;14,83 ;12,14 ;14,80
02/2019;31,59 ;19,12 ;37,65 ;346,38 ;16,23 ;16,47 ;14,41 ;14,74 ;12,16 ;14,68
03/2019;31,01 ;19,01 ;36,81 ;346,61 ;16,02 ;16,40 ;14,30 ;14,66 ;12,23 ;14,55
04/2019;30,57 ;18,90 ;39,60 ;349,38 ;15,77 ;16,34 ;14,20 ;14,52 ;12,27 ;14,44
05/2019;30,13 ;18,72 ;39,87 ;348,71 ;15,55 ;16,23 ;14,00 ;14,29 ;12,31 ;14,28
06/2019;29,30 ;18,51 ;38,62 ;347,04 ;15,36 ;16,10 ;13,93 ;14,14 ;12,50 ;14,50
07/2019;28,80 ;18,31 ;38,45 ;347,08 ;15,14 ;15,94 ;13,74 ;13,98 ;12,48 ;14,46
