Data;1848 - Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados) - u.m.c. (mil);1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil);1850 - Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (remunerados) - u.m.c. (mil);17633 - Recolhimentos obrigatórios de instituições financeiras - Saldo total - u.m.c. (mil)
03/2002;17.748.000 ;21.097.000 ;0 ;63.391.000
04/2002;17.732.000 ;20.268.000 ;0 ;63.077.000
05/2002;17.963.000 ;23.668.000 ;0 ;67.132.000
06/2002;18.219.000 ;21.888.000 ;0 ;73.292.000
07/2002;25.594.000 ;22.962.000 ;0 ;82.587.000
08/2002;26.695.000 ;23.836.000 ;0 ;91.659.000
09/2002;27.219.000 ;28.264.000 ;0 ;103.002.000
10/2002;27.713.000 ;26.982.000 ;0 ;117.495.000
11/2002;27.655.000 ;25.448.000 ;0 ;116.091.000
12/2002;28.092.000 ;30.216.000 ;0 ;121.192.000
01/2003;28.099.000 ;26.909.000 ;0 ;118.160.000
02/2003;28.015.000 ;29.832.000 ;0 ;122.068.000
03/2003;27.737.000 ;31.951.000 ;0 ;123.376.000
04/2003;27.724.000 ;35.418.000 ;0 ;127.250.000
05/2003;27.519.000 ;32.002.000 ;0 ;123.185.000
06/2003;27.433.000 ;30.943.000 ;0 ;122.458.000
07/2003;27.580.000 ;34.357.000 ;0 ;125.549.000
08/2003;27.655.000 ;24.546.000 ;0 ;116.900.000
09/2003;27.684.000 ;23.014.000 ;0 ;114.905.000
10/2003;27.698.000 ;23.882.000 ;0 ;116.357.000
11/2003;27.729.000 ;26.154.000 ;0 ;118.969.000
12/2003;28.613.000 ;29.865.000 ;0 ;123.967.000
01/2004;28.861.000 ;29.857.000 ;0 ;123.901.000
02/2004;28.811.000 ;30.290.000 ;0 ;120.801.000
03/2004;28.736.000 ;25.736.000 ;0 ;112.489.000
04/2004;28.854.000 ;27.899.000 ;0 ;112.051.000
05/2004;28.970.000 ;28.010.000 ;0 ;109.512.000
06/2004;29.563.000 ;28.661.000 ;0 ;112.794.000
07/2004;30.081.000 ;32.296.000 ;0 ;118.187.000
08/2004;30.202.000 ;31.721.000 ;0 ;118.359.000
09/2004;30.423.000 ;29.151.000 ;0 ;117.018.000
10/2004;30.520.000 ;29.100.000 ;0 ;118.126.000
11/2004;30.595.000 ;31.215.000 ;0 ;114.576.000
12/2004;31.601.000 ;36.088.000 ;0 ;121.459.000
01/2005;31.929.000 ;36.662.000 ;0 ;123.824.000
02/2005;31.851.000 ;33.782.000 ;0 ;121.812.000
03/2005;31.834.000 ;33.661.000 ;0 ;123.974.000
04/2005;32.024.000 ;33.353.000 ;0 ;125.312.000
05/2005;31.721.000 ;35.147.000 ;0 ;126.405.000
06/2005;31.885.000 ;33.207.000 ;0 ;125.802.000
07/2005;32.281.000 ;33.449.000 ;0 ;128.164.000
08/2005;32.324.000 ;33.800.000 ;0 ;128.922.000
09/2005;32.460.000 ;32.938.000 ;0 ;130.108.000
10/2005;32.396.000 ;32.313.000 ;0 ;129.736.000
11/2005;32.549.000 ;35.623.000 ;0 ;134.369.000
12/2005;33.549.000 ;42.041.000 ;0 ;143.978.000
01/2006;33.809.000 ;40.929.000 ;0 ;144.131.000
02/2006;33.954.000 ;40.219.000 ;0 ;142.218.000
03/2006;33.619.000 ;38.107.000 ;0 ;141.073.000
04/2006;33.572.000 ;37.576.000 ;0 ;141.514.000
05/2006;33.239.000 ;35.180.000 ;0 ;138.642.000
06/2006;33.485.000 ;41.964.000 ;0 ;149.471.000
07/2006;34.001.000 ;40.484.000 ;0 ;148.108.000
08/2006;34.328.000 ;45.582.000 ;0 ;153.364.000
09/2006;34.796.000 ;42.027.000 ;0 ;150.800.000
10/2006;35.074.000 ;42.081.000 ;0 ;151.134.000
11/2006;35.695.000 ;45.427.000 ;0 ;157.316.000
12/2006;36.893.000 ;50.451.000 ;0 ;164.312.000
01/2007;37.966.000 ;47.737.000 ;0 ;161.999.000
02/2007;38.316.000 ;45.139.000 ;0 ;160.420.000
03/2007;38.816.000 ;46.564.000 ;0 ;162.223.000
04/2007;39.351.000 ;52.944.000 ;0 ;169.407.000
05/2007;40.087.000 ;46.929.000 ;0 ;164.553.000
06/2007;40.733.000 ;52.036.000 ;0 ;170.969.000
07/2007;41.631.000 ;51.375.000 ;0 ;172.382.000
08/2007;42.456.000 ;49.113.000 ;0 ;172.364.000
09/2007;43.739.000 ;51.865.000 ;0 ;178.627.000
10/2007;44.505.000 ;54.726.000 ;0 ;183.289.000
11/2007;45.074.000 ;58.727.000 ;0 ;188.917.000
12/2007;47.116.000 ;62.802.000 ;0 ;196.737.000
01/2008;47.895.000 ;55.313.000 ;0 ;190.692.000
02/2008;48.532.000 ;53.391.000 ;0 ;190.472.000
03/2008;49.138.000 ;56.286.000 ;0 ;196.372.000
04/2008;49.784.000 ;51.971.000 ;0 ;198.568.000
05/2008;49.503.000 ;59.750.000 ;0 ;219.639.000
06/2008;50.002.000 ;57.182.000 ;0 ;223.482.000
07/2008;51.074.000 ;52.445.000 ;0 ;230.799.000
08/2008;51.260.000 ;53.617.000 ;0 ;239.841.000
09/2008;52.048.000 ;55.916.000 ;0 ;253.137.000
10/2008;52.594.000 ;51.614.000 ;0 ;201.033.000
11/2008;50.492.000 ;48.001.000 ;0 ;169.410.457
12/2008;51.036.000 ;52.320.000 ;0 ;171.958.000
01/2009;51.621.000 ;52.346.000 ;0 ;172.602.000
