Data;1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil)
04/2018;51.422.628
05/2018;45.179.697
06/2018;44.059.221
07/2018;48.309.204
08/2018;47.084.730
09/2018;43.727.833
10/2018;51.885.315
11/2018;40.401.023
12/2018;37.081.790
01/2019;37.603.129
02/2019;48.914.105
03/2019;50.066.624
04/2019;43.923.832
05/2019;44.125.009
06/2019;40.661.335
07/2019;35.121.453
08/2019;45.558.755
09/2019;37.234.960
10/2019;46.925.796
11/2019;42.193.667
12/2019;35.901.521
01/2020;60.514.219
02/2020;43.852.883
03/2020;48.024.227
04/2020;45.469.313
05/2020;52.938.386
06/2020;46.620.245
07/2020;77.954.434
08/2020;51.350.324
09/2020;54.428.890
10/2020;70.984.072
11/2020;57.667.613
12/2020;59.635.126
01/2021;68.631.447
Fonte;BCB-DSTAT
